x,y,timeElapsed,Title,Price,Rating,URL,Image
336.69,389.06,70990.60,"Brown Bear, Brown Bear, What Do You See?","$4.55","4.9 out of 5 stars","https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?ref_=Oct_d_omg_d_4_0&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=0805047905","https://m.media-amazon.com/images/I/81kZ3Gl3WKL._AC._SR360,460.jpg"
366.12,417.16,71511.20,"Brown Bear, Brown Bear, What Do You See?","$4.55","4.9 out of 5 stars","https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?ref_=Oct_d_omg_d_4_0&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=0805047905","https://m.media-amazon.com/images/I/81kZ3Gl3WKL._AC._SR360,460.jpg"
427.06,417.85,72015.60,"Brown Bear, Brown Bear, What Do You See?","$4.55","4.9 out of 5 stars","https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?ref_=Oct_d_omg_d_4_0&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=0805047905","https://m.media-amazon.com/images/I/81kZ3Gl3WKL._AC._SR360,460.jpg"
520.56,383.18,72453.00,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
504.41,365.93,72965.60,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
514.48,379.85,73474.30,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
648.84,411.04,74043.30,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
637.69,408.92,74448.40,"Chicka Chicka Boom Boom (Board Book)","$4.06","4.9 out of 5 stars","https://www.amazon.com/Chicka-Boom-Board-Book/dp/1442450703?ref_=Oct_d_omg_d_4_1&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1442450703","https://m.media-amazon.com/images/I/51WABgZmdWL._AC._SR360,460.jpg"
811.65,405.80,74954.20,"I Love You to the Moon and Back","$4.92","4.9 out of 5 stars","https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518?ref_=Oct_d_omg_d_4_2&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1589255518","https://m.media-amazon.com/images/I/81mpSoJzv4L._AC._SR360,460.jpg"
704.06,332.92,75446.10,"I Love You to the Moon and Back","$4.92","4.9 out of 5 stars","https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518?ref_=Oct_d_omg_d_4_2&pd_rd_w=OrXiL&content-id=amzn1.sym.6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_p=6cee1108-ad79-44d2-97c9-edef8d73cf8f&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1589255518","https://m.media-amazon.com/images/I/81mpSoJzv4L._AC._SR360,460.jpg"
